id,latitude,longitude,photo_url,access,amenity,armrest,backrest,bench:type,capacity,check_date,circumference,colour,denotation,description,direction,ele,ele:ellipsoid,ele:geoid,fixme,genus,height,highway,image,indoor,inscription,lamp_mount,layer,leaf_cycle,leaf_type,level,light:count,light:lit,light:shape,lit,location,mapillary,mapillary:SW,mapillary:W,material,name,name:cs,name:en,natural,note,note:ele,outdoor_seating,panoramax,ref,seats,shelter,sides,source,source:amenity,source:position,species,species:wikidata,start_date,support,survey,survey:date,two_sided
1514616980,48.8982469,2.2542479,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617019,48.8982852,2.2543460,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617024,48.8983295,2.2541753,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617028,48.8983645,2.2542796,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617138,48.8985956,2.2539239,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617164,48.8986474,2.2540854,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617170,48.8986783,2.2538605,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Bing satellite 2011,,,,,,,,,
1514617175,48.8987340,2.2540189,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557096300,48.9020285,2.2735614,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210549,48.9001802,2.2815279,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210550,48.9001818,2.2814959,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210554,48.9001883,2.2815648,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210567,48.9001984,2.2810706,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210575,48.9002012,2.2815935,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210583,48.9002180,2.2811273,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210585,48.9002233,2.2816123,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557210593,48.9002337,2.2811730,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
